occupancy_label,inventory_total,reserve_pallets_per_layout,weight_case_id,canonical_lambda_case_id,omega_depth,omega_level,selection_label,mean_normalized_horizontal_distance,mean_normalized_depth,mean_normalized_level,reserve_access_cost,rank_lower_is_better,is_best_layout,canonical_low_reserve_access_cost,low_absolute_difference,low_reproduction_tolerance,low_reproduction_pass
low,790,690,B1,B1_baseline,0.1,0.1,L1,0.394440052746377,0.169565217391304,0.461904761933333,0.457587050678841,4,false,0.457587050631,4.78406758652739e-11,1e-09,true
low,790,690,B1,B1_baseline,0.1,0.1,L2,0.248722002673913,0.259782608695652,0.345755693634784,0.309275832906957,2,false,0.309275832863,4.39566716359252e-11,1e-09,true
low,790,690,B1,B1_baseline,0.1,0.1,L3,0.160395257108696,0.298188405797101,0.578260869555072,0.248040184643913,1,true,0.248040184453,1.90913007624971e-10,1e-09,true
low,790,690,B1,B1_baseline,0.1,0.1,L4,0.254202898668116,0.23768115942029,0.507246376808695,0.328695652291015,3,false,0.328695652174,1.17014897771384e-10,1e-09,true
low,790,690,B2,B2_higher_depth_penalty,0.25,0.1,L1,0.394440052746377,0.169565217391304,0.461904761933333,0.483021833287536,4,false,0.483021833239,4.8536341612504e-11,1e-09,true
low,790,690,B2,B2_higher_depth_penalty,0.25,0.1,L2,0.248722002673913,0.259782608695652,0.345755693634784,0.348243224211304,2,false,0.348243224167,4.43045045095403e-11,1e-09,true
low,790,690,B2,B2_higher_depth_penalty,0.25,0.1,L3,0.160395257108696,0.298188405797101,0.578260869555072,0.292768445513478,1,true,0.292768445323,1.90478188777377e-10,1e-09,true
low,790,690,B2,B2_higher_depth_penalty,0.25,0.1,L4,0.254202898668116,0.23768115942029,0.507246376808695,0.364347826204058,3,false,0.364347826087,1.17058363002798e-10,1e-09,true
low,790,690,B3,B3_higher_level_penalty,0.1,0.25,L1,0.394440052746377,0.169565217391304,0.461904761933333,0.526872764968841,4,false,0.526872764916,5.28407317901269e-11,1e-09,true
low,790,690,B3,B3_higher_level_penalty,0.1,0.25,L2,0.248722002673913,0.259782608695652,0.345755693634784,0.361139186952174,2,false,0.3611391869,5.21742093972932e-11,1e-09,true
low,790,690,B3,B3_higher_level_penalty,0.1,0.25,L3,0.160395257108696,0.298188405797101,0.578260869555072,0.334779315077174,1,true,0.334779314888,1.89173843256896e-10,1e-09,true
