run_id,method,instance,seed,generation,budget_policy,auto_population_size,auto_generations,auto_beam_width,auto_max_depth,auto_decode_budget,restart_index,batch_index,within_batch_index,decode_budget,candidate_id,parent_chromosome_id,depth,trace,status,rank,crowding_distance,selected,storage_total,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,access_anchor_connectivity_index,has_door_connected_aisle,has_access_anchor_connected_aisle,aisle_components,anchor_connected_components,unanchored_aisle_components,single_aisle_component,access_network_components,aisle_access_network_components,unreachable_aisle_components,unreachable_aisle_cells,has_access_anchor_reachable_aisle_network,exact_width_ok,exact_width_violation_count,chromosome_h_active_count,chromosome_v_active_count,active_h_count,active_v_count,chromosome_index,sorting_rule,sorting_rule_mode,bs_rule_policy,bs_weight_policy,uses_scalar_score,rho,beam_w1,beam_w2,beam_lambda,adaptive_weight_mode,mutation_operator,initialization_mode,initialization_spacing_mode,adaptive_spacing_used,feasible_h_start_count,feasible_v_start_count,adaptive_spacing_mode,adaptive_spacing_alpha,adaptive_spacing_bf,auto_params_used,parameter_source,beta_h,beta_v,h_active_starts,v_active_starts,terminal,safety_max_depth_reached,feasible,feasibility_reason,storage_block_count,chromosome_signature,layout_signature
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,1,,1,root > V:29,infeasible,,,False,948,166,782,2744.0,0.5,0.5,True,True,2,1,1,False,2,2,1,224,False,True,0,,,,,,LS,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,False,unreachable_aisle_components,2,,5472cb7e720d484a6a409f7b0685f2582cc75776
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,2,,4,root > V:28 > BH:27 > BV:21 > BV:21,evaluated,2,inf,False,680,262,418,576.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,67a6f4f8f954f77d80a9f7aeff15d9041dc361bd
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,3,,4,root > V:28 > BH:27 > BV:19 > BV:21,evaluated,1,inf,False,680,262,418,524.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,334779b46d5c288ee3031362a71af20db7b63dd5
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,4,,4,root > V:28 > BH:27 > BV:17 > BV:21,evaluated,2,inf,False,680,262,418,576.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,0cf129bcce89e5f8a26de7d155210a53886c00dc
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,5,,4,root > V:28 > BH:27 > BV:21 > BV:19,evaluated,1,0.0,False,680,262,418,524.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,8f2926ac3d427dac9f2e22e7dbb4782d03fe71f9
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,6,,4,root > V:28 > BH:27 > BV:19 > BV:19,selected,0,inf,True,680,262,418,472.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS_RP,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,fc4825140fa5e2560776b4b932f5ef46c1588f36
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,7,,4,root > V:28 > BH:27 > BV:19 > BV:17,evaluated,1,inf,False,680,262,418,524.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,LS_RP,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,c3a8d798cccc0ae6137f5d1801f12286f82d75a7
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,8,,4,root > V:27 > BH:27 > BV:19 > BV:19,evaluated,1,inf,False,684,260,424,484.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,RP,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,9baad5a6d6d08df213ec54891109e23b1069a9a5
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,9,,4,root > V:27 > BH:27 > BV:17 > BV:19,evaluated,1,0.0,False,684,260,424,484.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,RP,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,7ea492661f4a7d780540a41c5bfc758906148e19
bs_only_Gyorgy-KOVACS_WH_Narrow_AW_4_seed_117,bs_only,Gyorgy-KOVACS_WH_Narrow_AW_4,117,0,auto_from_instance,12,18,4,30,216,,,,,10,,4,root > V:27 > BH:27 > BV:19 > BV:17,evaluated,1,0.0,False,684,260,424,484.0,1.0,1.0,True,True,1,1,0,True,1,1,0,0,True,True,0,,,,,,RP,,all_rules,fixed,False,,0.5,0.5,0.1,,,direct_root,,,,,,,,True,,,,,,True,False,True,,5,,59c55a28d53f47701301421f850890ad1de7d63b
