phase,method_or_variant,instance,seed,command,status,started_at,finished_at,runtime_seconds,return_code,output_dir,log_path,error_message
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 109 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s109 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:41:38+00:00,2026-09-04T20:01:14+00:00,1176.137859,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s109,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s109.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 110 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s110 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:42:54+00:00,2026-09-04T20:02:26+00:00,1171.265169,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s110,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s110.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,111,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 111 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s111 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:58:30+00:00,2026-09-04T20:19:39+00:00,1269.466611,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s111,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s111.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,112,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 112 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s112 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:59:18+00:00,2026-09-04T20:21:32+00:00,1333.835428,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s112,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s112.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,113,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 113 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s113 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:59:18+00:00,2026-09-04T20:20:28+00:00,1269.514002,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s113,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s113.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,114,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 114 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s114 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T19:59:51+00:00,2026-09-04T20:21:07+00:00,1275.447544,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s114,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s114.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,115,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 115 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s115 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:00:11+00:00,2026-09-04T20:21:58+00:00,1307.109569,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s115,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s115.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,116,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 116 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s116 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:00:38+00:00,2026-09-04T20:22:08+00:00,1290.038805,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s116,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s116.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,117,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 117 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s117 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:00:55+00:00,2026-09-04T20:23:33+00:00,1358.17296,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s117,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s117.log,
phase11,random_restart_bs,Gyorgy-KOVACS_WH_Wide_AW_5,118,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances Gyorgy-KOVACS_WH_Wide_AW_5 --seeds 118 --method random_restart_bs --experiment-id p11__rrbs__KOV_WH_W_AW5__s118 --output-dir results\revision_final_30seed_nofg\p11\rrbs --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives,completed,2026-09-04T20:01:14+00:00,2026-09-04T20:23:13+00:00,1318.393577,0,results\revision_final_30seed_nofg\p11\rrbs\p11__rrbs__KOV_WH_W_AW5__s118,results\revision_final_30seed_nofg\logs\p11__rrbs__KOV_WH_W_AW5__s118.log,
