comparison_group,method_or_variant,instance,seed,configured_max_depth,retained_archive_count,mean_retained_depth,median_retained_depth,min_retained_depth,max_retained_depth,retained_layouts_reaching_cap,run_reaches_configured_cap,scope_note
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,102,28,12,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,103,28,18,10.944444444444445,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,104,28,16,10.875,11.5,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,105,28,11,11.363636363636363,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,106,28,10,11.7,12.0,11,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,107,28,14,11.285714285714286,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,108,28,27,10.62962962962963,11.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,109,28,14,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,110,28,25,11.04,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,111,28,22,11.272727272727273,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,112,28,20,11.2,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,113,28,21,11.285714285714286,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,114,28,15,10.866666666666667,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,115,28,25,10.96,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,116,28,11,11.545454545454545,12.0,10,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,117,28,18,11.444444444444445,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,118,28,17,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,119,28,26,11.26923076923077,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,120,28,16,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,121,28,23,10.782608695652174,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,demo_layout_door_left_AW_2,122,28,19,10.947368421052632,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
