comparison_group,method_or_variant,instance,seed,configured_max_depth,observed_min_structural_depth,observed_max_structural_depth,retained_archive_count,retained_unique_signature_count,retained_layouts_reaching_cap,run_reaches_configured_cap,runtime_seconds,candidate_row_count,candidate_rows_at_cap,candidate_rows_above_cap,candidate_rows_safety_max_depth_reached,archive_index_path
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,119,28,8,12,26,26,0,False,1099.88287,184,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s119/runs/demo_layout_door_left_AW_2/seed_119/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,120,28,8,12,16,16,0,False,1105.598826,208,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s120/runs/demo_layout_door_left_AW_2/seed_120/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,121,28,8,12,23,23,0,False,1163.558427,179,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s121/runs/demo_layout_door_left_AW_2/seed_121/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,122,28,8,12,19,19,0,False,1129.41555,177,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s122/runs/demo_layout_door_left_AW_2/seed_122/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,123,28,8,12,16,16,0,False,1092.272302,168,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s123/runs/demo_layout_door_left_AW_2/seed_123/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,124,28,8,12,18,18,0,False,964.4566384,193,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s124/runs/demo_layout_door_left_AW_2/seed_124/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,125,28,8,12,25,25,0,False,1146.498567,203,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s125/runs/demo_layout_door_left_AW_2/seed_125/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,126,28,8,12,26,26,0,False,1148.09955,193,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s126/runs/demo_layout_door_left_AW_2/seed_126/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,127,28,8,12,14,14,0,False,1202.02555,176,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s127/runs/demo_layout_door_left_AW_2/seed_127/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,128,28,8,12,22,22,0,False,1102.021434,175,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s128/runs/demo_layout_door_left_AW_2/seed_128/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,129,28,8,12,18,18,0,False,1084.872176,169,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s129/runs/demo_layout_door_left_AW_2/seed_129/final_ranked_layouts_index.json
v6b_demo_matched,V0_full_proposed,demo_layout_door_left_AW_2,130,28,8,12,19,19,0,False,1134.986732,204,0,0,0,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s130/runs/demo_layout_door_left_AW_2/seed_130/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,101,10,8,10,13,13,10,True,868.1767181000032,187,160,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s101/runs/demo_layout_door_left_AW_2/seed_101/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,102,10,8,10,9,9,6,True,875.7125227999932,194,165,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s102/runs/demo_layout_door_left_AW_2/seed_102/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,103,10,8,10,23,23,18,True,827.0673709000112,190,163,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s103/runs/demo_layout_door_left_AW_2/seed_103/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,104,10,8,10,12,12,9,True,875.5112101999985,202,180,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s104/runs/demo_layout_door_left_AW_2/seed_104/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,105,10,8,10,5,5,1,True,938.3442467999994,228,213,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s105/runs/demo_layout_door_left_AW_2/seed_105/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,106,10,8,10,18,18,15,True,779.5436378000013,213,177,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s106/runs/demo_layout_door_left_AW_2/seed_106/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,107,10,8,10,16,16,12,True,855.064827299997,179,147,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s107/runs/demo_layout_door_left_AW_2/seed_107/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,108,10,8,10,11,11,4,True,760.8649441000016,187,155,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s108/runs/demo_layout_door_left_AW_2/seed_108/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,109,10,8,10,15,15,9,True,907.8213405999995,212,184,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s109/runs/demo_layout_door_left_AW_2/seed_109/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,110,10,8,10,11,11,4,True,1023.0292860000045,169,150,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s110/runs/demo_layout_door_left_AW_2/seed_110/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,111,10,8,10,15,15,7,True,821.4547446000215,197,171,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s111/runs/demo_layout_door_left_AW_2/seed_111/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,112,10,8,10,11,11,6,True,780.2437558000092,195,176,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s112/runs/demo_layout_door_left_AW_2/seed_112/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,113,10,8,10,33,33,23,True,804.4146959999925,229,204,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s113/runs/demo_layout_door_left_AW_2/seed_113/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,114,10,8,10,19,19,15,True,787.0854310999857,197,180,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s114/runs/demo_layout_door_left_AW_2/seed_114/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,115,10,8,10,14,14,10,True,738.418796300015,217,190,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s115/runs/demo_layout_door_left_AW_2/seed_115/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,116,10,8,10,10,10,3,True,765.0969201000116,174,153,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s116/runs/demo_layout_door_left_AW_2/seed_116/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,117,10,8,10,22,22,18,True,817.2313445000036,206,189,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s117/runs/demo_layout_door_left_AW_2/seed_117/final_ranked_layouts_index.json
v6b_demo_matched,V6b_binding_depth10,demo_layout_door_left_AW_2,118,10,7,10,31,31,24,True,737.0973847000278,192,165,0,0,results/revision_final_30seed_nofg_v6b/p12c/V6b_d10/p12c__V6b_d10__DEMO_L_AW2__s118/runs/demo_layout_door_left_AW_2/seed_118/final_ranked_layouts_index.json
