comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,108,0.9684568061881014,0.20940108001302954,0.08928446558888789,2,11,11,760.8649441000016
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,109,0.9405234222511387,0.2243249612213294,0.06037711643194536,2,15,15,907.8213405999995
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,110,0.9056312022737394,0.22900333107360998,0.0,1,11,11,1023.0292860000045
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,111,0.8238549768478888,0.2943146113561733,0.040251410954630244,2,15,15,821.4547446000215
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,112,0.9056312022737394,0.22900333107360998,0.0,1,11,11,780.2437558000092
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,113,0.9619843071678331,0.20940108001302954,0.3384739888806389,4,33,33,804.4146959999925
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,114,0.8096901935493693,0.2973132496926126,0.09660671484655659,2,19,19,787.0854310999857
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,115,0.9601792034303934,0.20940108001302954,0.10151392914127534,3,14,14,738.418796300015
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,116,0.9684568061881014,0.20940108001302954,0.08928446558888789,2,10,10,765.0969201000116
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,117,1.2865920624593365,0.014792845281956516,0.0,1,22,22,817.2313445000036
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,118,0.8017284639705968,0.2973132496926126,0.0,1,31,31,737.0973847000278
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,119,0.9405234222511387,0.2243249612213294,0.06037711643194536,2,14,14,776.2983070999908
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,120,1.2865920624593365,0.014792845281956516,0.0,1,21,21,730.399069200008
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,121,0.9056312022737394,0.22900333107360998,0.0,1,6,6,812.7157187999983
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,122,0.8205208159740061,0.2973132496926126,0.39468518317402285,3,22,22,735.637852099986
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,123,0.9072632549167325,0.22762571229456255,0.09133725818368049,2,19,19,808.7083163000061
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,124,1.2865920624593365,0.014792845281956516,0.0,1,16,16,692.0774648000079
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,125,1.2865920624593365,0.014792845281956516,0.0,1,5,5,779.5234880999778
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,126,1.2865920624593365,0.014792845281956516,0.0,1,5,5,663.6404363000183
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,127,0.8017284639705968,0.2973132496926126,0.0,1,16,16,801.7457387000031
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,128,0.9072632549167325,0.22762571229456255,0.09133725818368049,2,14,14,701.8505962000054
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,129,1.2865920624593365,0.014792845281956516,0.0,1,25,25,751.812478900014
v6b_demo_matched,demo_layout_door_left_AW_2,V6b_binding_depth10,130,1.2865920624593365,0.014792845281956516,0.0,1,5,5,734.9384219000058
