comparison_group,method_or_variant,source_phase,source_manifest_label,source_relative_root,instance,seed,archive_scope,archive_record_count,unique_signature_count,configured_max_depth,runtime_seconds,archive_index_path,run_metadata_path,manifest_output_dir
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,111,final feasible rank 0-3,30,30,28,92.0305029,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s111/runs/AT_S_comercial_layout_AW_3/seed_111/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s111/runs/AT_S_comercial_layout_AW_3/seed_111/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s111
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,112,final feasible rank 0-3,20,20,28,98.4881882,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s112/runs/AT_S_comercial_layout_AW_3/seed_112/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s112/runs/AT_S_comercial_layout_AW_3/seed_112/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s112
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,113,final feasible rank 0-3,23,23,28,121.7929821,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s113/runs/AT_S_comercial_layout_AW_3/seed_113/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s113/runs/AT_S_comercial_layout_AW_3/seed_113/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s113
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,114,final feasible rank 0-3,20,20,28,120.574514,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s114/runs/AT_S_comercial_layout_AW_3/seed_114/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s114/runs/AT_S_comercial_layout_AW_3/seed_114/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s114
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,115,final feasible rank 0-3,20,20,28,111.0577525,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s115/runs/AT_S_comercial_layout_AW_3/seed_115/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s115/runs/AT_S_comercial_layout_AW_3/seed_115/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s115
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,116,final feasible rank 0-3,31,31,28,114.6988779,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s116/runs/AT_S_comercial_layout_AW_3/seed_116/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s116/runs/AT_S_comercial_layout_AW_3/seed_116/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s116
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,117,final feasible rank 0-3,20,20,28,142.3854412,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s117/runs/AT_S_comercial_layout_AW_3/seed_117/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s117/runs/AT_S_comercial_layout_AW_3/seed_117/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s117
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,118,final feasible rank 0-3,20,20,28,128.2201386,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s118/runs/AT_S_comercial_layout_AW_3/seed_118/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s118/runs/AT_S_comercial_layout_AW_3/seed_118/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s118
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,119,final feasible rank 0-3,29,29,28,120.8634861,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s119/runs/AT_S_comercial_layout_AW_3/seed_119/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s119/runs/AT_S_comercial_layout_AW_3/seed_119/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s119
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,120,final feasible rank 0-3,25,25,28,111.4216272,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s120/runs/AT_S_comercial_layout_AW_3/seed_120/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s120/runs/AT_S_comercial_layout_AW_3/seed_120/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s120
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,121,final feasible rank 0-3,23,23,28,133.5098776,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s121/runs/AT_S_comercial_layout_AW_3/seed_121/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s121/runs/AT_S_comercial_layout_AW_3/seed_121/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,122,final feasible rank 0-3,20,20,28,160.1896623,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s122/runs/AT_S_comercial_layout_AW_3/seed_122/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s122/runs/AT_S_comercial_layout_AW_3/seed_122/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s122
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,123,final feasible rank 0-3,21,21,28,111.0762655,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s123/runs/AT_S_comercial_layout_AW_3/seed_123/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s123/runs/AT_S_comercial_layout_AW_3/seed_123/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s123
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,124,final feasible rank 0-3,23,23,28,160.8237125,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s124/runs/AT_S_comercial_layout_AW_3/seed_124/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s124/runs/AT_S_comercial_layout_AW_3/seed_124/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s124
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,125,final feasible rank 0-3,20,20,28,141.1757819,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s125/runs/AT_S_comercial_layout_AW_3/seed_125/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s125/runs/AT_S_comercial_layout_AW_3/seed_125/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s125
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,AT_S_comercial_layout_AW_3,126,final feasible rank 0-3,20,20,28,174.7312771,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s126/runs/AT_S_comercial_layout_AW_3/seed_126/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__AT_S_AW3__s126/runs/AT_S_comercial_layout_AW_3/seed_126/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s126
