comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,128,1.017976106541324,0.07993320014545272,0.5317092912353587,3,18,18,158.8693987,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,129,1.0363794555424992,0.09409297911109689,0.4765589492955606,4,23,23,155.5247655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,proposed_nsga2_bs,130,0.9360283979631807,0.12791087837397982,0.490219455879656,3,22,22,172.6963965,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,101,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,22.664615,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,102,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,18.189432,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,103,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,17.8505506,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,104,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,17.7415078,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,105,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,21.7339677,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,106,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,19.7371557,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,107,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,17.9772899,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,108,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,18.7843912,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,109,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,18.4448943,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,110,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,18.9264898,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,111,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,22.7996774,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,112,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,22.5129761,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,113,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,18.211965,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,114,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,17.3332073,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,115,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,21.4774108,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,116,0.6028795534665102,0.2874607352364314,0.4331584378907463,2,7,7,22.3004952,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
