scope,comparison_group,instance,metric,method1,method2,n_pairs,wilcoxon_statistic,p_value_raw,zero_method,alternative,preferred_direction,rank_biserial_method1_preferred,method1_wins,ties,method1_losses,method1_win_proportion,tie_proportion,method1_loss_proportion,raw_mean_difference_method1_minus_method2,holm_family,p_value_holm
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,osd,V0_full_proposed,V7_beam_plus1_depth_default,30,79.5,0.7931150828995059,wilcox,two-sided,descriptive_no_preferred_direction,,9,12,9,0.3,0.4,0.3,-0.01418508116946208,"2 V0-vs-variant comparisons within metric=osd, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",1.0
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,unique_layout_signature_count_rank_0_3,V0_full_proposed,V7_beam_plus1_depth_default,30,146.5,0.19705892468805786,wilcox,two-sided,higher,-0.27832512315270935,10,2,18,0.3333333333333333,0.06666666666666667,0.6,-0.8666666666666667,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=demo_layout_door_left_AW_2",0.3941178493761157
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,runtime_seconds,V0_full_proposed,V6_depth15_beam_default,30,155.0,0.11417667381465435,wilcox,two-sided,lower,-0.3333333333333333,10,0,20,0.3333333333333333,0.0,0.6666666666666666,24.837590029999912,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=demo_layout_door_left_AW_2",0.11417667381465435
per_instance_supporting,phase12c,demo_layout_door_left_AW_2,runtime_seconds,V0_full_proposed,V7_beam_plus1_depth_default,30,29.0,3.2391399145126343e-06,wilcox,two-sided,lower,0.875268817204301,29,0,1,0.9666666666666667,0.0,0.03333333333333333,-173.80998566666503,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=demo_layout_door_left_AW_2",6.4782798290252686e-06
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=hypervolume, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,hypervolume,V0_full_proposed,V7_beam_plus1_depth_default,30,10.5,0.04512731727262514,wilcox,two-sided,higher,-0.6818181818181818,2,19,9,0.06666666666666667,0.6333333333333333,0.3,-0.17233861558010813,"2 V0-vs-variant comparisons within metric=hypervolume, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.09025463454525028
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,lower,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=igd_plus, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,igd_plus,V0_full_proposed,V7_beam_plus1_depth_default,30,14.5,0.17647910219667762,wilcox,two-sided,lower,-0.4727272727272727,2,20,8,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.11792151119587592,"2 V0-vs-variant comparisons within metric=igd_plus, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.35295820439335523
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,descriptive_no_preferred_direction,,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=osd, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,osd,V0_full_proposed,V7_beam_plus1_depth_default,30,10.5,0.04512731727262514,wilcox,two-sided,descriptive_no_preferred_direction,,9,19,2,0.3,0.6333333333333333,0.06666666666666667,0.11565568069496764,"2 V0-vs-variant comparisons within metric=osd, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.09025463454525028
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,unique_layout_signature_count_rank_0_3,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,unique_layout_signature_count_rank_0_3,V0_full_proposed,V7_beam_plus1_depth_default,30,146.0,0.4506287878242612,wilcox,two-sided,higher,-0.16809116809116809,11,4,15,0.36666666666666664,0.13333333333333333,0.5,-0.4666666666666667,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.9012575756485224
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,runtime_seconds,V0_full_proposed,V6_depth15_beam_default,30,186.0,0.3492113798856735,wilcox,two-sided,lower,0.2,14,0,16,0.4666666666666667,0.0,0.5333333333333333,-44.05900668666691,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.3492113798856735
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,runtime_seconds,V0_full_proposed,V7_beam_plus1_depth_default,30,105.0,0.007612137123942375,wilcox,two-sided,lower,0.5483870967741935,18,0,12,0.6,0.0,0.4,-121.84709456000091,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=Gyorgy-KOVACS_WH_Narrow_AW_4",0.01522427424788475
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,hypervolume,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=hypervolume, instance=Gyorgy-KOVACS_WH_Wide_AW_5",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,hypervolume,V0_full_proposed,V7_beam_plus1_depth_default,30,3.0,0.4496917979688909,wilcox,two-sided,higher,0.4,3,26,1,0.1,0.8666666666666667,0.03333333333333333,0.007612294955357809,"2 V0-vs-variant comparisons within metric=hypervolume, instance=Gyorgy-KOVACS_WH_Wide_AW_5",0.8993835959377818
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,igd_plus,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,lower,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=igd_plus, instance=Gyorgy-KOVACS_WH_Wide_AW_5",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,igd_plus,V0_full_proposed,V7_beam_plus1_depth_default,30,3.0,0.4496917979688909,wilcox,two-sided,lower,0.4,3,26,1,0.1,0.8666666666666667,0.03333333333333333,-0.00277990193039185,"2 V0-vs-variant comparisons within metric=igd_plus, instance=Gyorgy-KOVACS_WH_Wide_AW_5",0.8993835959377818
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,osd,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,descriptive_no_preferred_direction,,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=osd, instance=Gyorgy-KOVACS_WH_Wide_AW_5",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,osd,V0_full_proposed,V7_beam_plus1_depth_default,30,4.0,0.7054569861112734,wilcox,two-sided,descriptive_no_preferred_direction,,2,26,2,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0017527222676670174,"2 V0-vs-variant comparisons within metric=osd, instance=Gyorgy-KOVACS_WH_Wide_AW_5",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,unique_layout_signature_count_rank_0_3,V0_full_proposed,V6_depth15_beam_default,30,0.0,1.0,wilcox,two-sided,higher,0.0,0,30,0,0.0,1.0,0.0,0.0,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=Gyorgy-KOVACS_WH_Wide_AW_5",1.0
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,unique_layout_signature_count_rank_0_3,V0_full_proposed,V7_beam_plus1_depth_default,30,39.0,0.00029582843171132244,wilcox,two-sided,higher,-0.7936507936507936,6,3,21,0.2,0.1,0.7,-2.7,"2 V0-vs-variant comparisons within metric=unique_layout_signature_count_rank_0_3, instance=Gyorgy-KOVACS_WH_Wide_AW_5",0.0005916568634226449
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,runtime_seconds,V0_full_proposed,V6_depth15_beam_default,30,192.0,0.4161298982799053,wilcox,two-sided,lower,-0.17419354838709677,17,0,13,0.5666666666666667,0.0,0.43333333333333335,384.34927056666703,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=Gyorgy-KOVACS_WH_Wide_AW_5",0.8322597965598106
per_instance_supporting,phase12c,Gyorgy-KOVACS_WH_Wide_AW_5,runtime_seconds,V0_full_proposed,V7_beam_plus1_depth_default,30,209.0,0.6408254038542509,wilcox,two-sided,lower,-0.1010752688172043,19,0,11,0.6333333333333333,0.0,0.36666666666666664,190.45081170000023,"2 V0-vs-variant comparisons within metric=runtime_seconds, instance=Gyorgy-KOVACS_WH_Wide_AW_5",0.8322597965598106
