scope,instance,metric,method1,method2,pairing_key,n_pairs,method1_mean,method2_mean,wilcoxon_statistic,p_value_raw,zero_method,alternative,preferred_direction,rank_biserial_method1_preferred,method1_wins,ties,method1_losses,method1_win_proportion,tie_proportion,method1_loss_proportion,raw_mean_difference_method1_minus_method2,holm_family,independence_note,p_value_holm
per_instance_primary,AT_S_comercial_layout_AW_3,runtime_seconds,proposed_nsga2_bs,bs_only_direct,seed,30,120.80411744999999,20.54308631,0.0,1.862645149230957e-09,wilcox,two-sided,lower,-1.0,0,0,30,0.0,0.0,1.0,100.26103113999999,"three Phase-11 method pairs within metric=runtime_seconds, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,5.587935447692871e-09
per_instance_primary,AT_S_comercial_layout_AW_3,runtime_seconds,proposed_nsga2_bs,random_restart_bs,seed,30,120.80411744999999,99.81337297333333,50.0,5.5925920605659485e-05,wilcox,two-sided,lower,-0.7849462365591398,7,0,23,0.23333333333333334,0.0,0.7666666666666667,20.99074447666667,"three Phase-11 method pairs within metric=runtime_seconds, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,5.5925920605659485e-05
per_instance_primary,AT_S_comercial_layout_AW_3,runtime_seconds,random_restart_bs,bs_only_direct,seed,30,99.81337297333333,20.54308631,0.0,1.862645149230957e-09,wilcox,two-sided,lower,-1.0,0,0,30,0.0,0.0,1.0,79.27028666333332,"three Phase-11 method pairs within metric=runtime_seconds, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,5.587935447692871e-09
per_instance_primary,AT_S_comercial_layout_AW_3,seed_exclusive_signature_count,proposed_nsga2_bs,bs_only_direct,seed,30,0.13333333333333333,0.0,0.0,0.10247043485974937,wilcox,two-sided,higher,1.0,3,27,0,0.1,0.9,0.0,0.13333333333333333,"three Phase-11 method pairs within metric=seed_exclusive_signature_count, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.20494086971949874
per_instance_primary,AT_S_comercial_layout_AW_3,seed_exclusive_signature_count,proposed_nsga2_bs,random_restart_bs,seed,30,0.13333333333333333,0.26666666666666666,8.5,0.3401742745401122,wilcox,two-sided,higher,-0.39285714285714285,2,23,5,0.06666666666666667,0.7666666666666667,0.16666666666666666,-0.13333333333333333,"three Phase-11 method pairs within metric=seed_exclusive_signature_count, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.3401742745401122
per_instance_primary,AT_S_comercial_layout_AW_3,seed_exclusive_signature_count,random_restart_bs,bs_only_direct,seed,30,0.26666666666666666,0.0,0.0,0.023140931308743732,wilcox,two-sided,higher,1.0,6,24,0,0.2,0.8,0.0,0.26666666666666666,"three Phase-11 method pairs within metric=seed_exclusive_signature_count, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.0694227939262312
per_instance_primary,AT_S_comercial_layout_AW_3,seed_rediscovered_signature_ratio,proposed_nsga2_bs,bs_only_direct,seed,30,0.9942795797868261,1.0,0.0,0.10880943004054569,wilcox,two-sided,lower,1.0,3,27,0,0.1,0.9,0.0,-0.005720420213173842,"three Phase-11 method pairs within metric=seed_rediscovered_signature_ratio, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.21761886008109138
per_instance_primary,AT_S_comercial_layout_AW_3,seed_rediscovered_signature_ratio,proposed_nsga2_bs,random_restart_bs,seed,30,0.9942795797868261,0.990727033405955,13.5,0.5281061253470647,wilcox,two-sided,lower,-0.25,3,22,5,0.1,0.7333333333333333,0.16666666666666666,0.0035525463808711837,"three Phase-11 method pairs within metric=seed_rediscovered_signature_ratio, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.5281061253470647
per_instance_primary,AT_S_comercial_layout_AW_3,seed_rediscovered_signature_ratio,random_restart_bs,bs_only_direct,seed,30,0.990727033405955,1.0,0.0,0.027707849358079864,wilcox,two-sided,lower,1.0,6,24,0,0.2,0.8,0.0,-0.009272966594045026,"three Phase-11 method pairs within metric=seed_rediscovered_signature_ratio, instance=AT_S_comercial_layout_AW_3",30 matched seeds within one warehouse instance,0.08312354807423959
per_instance_primary,demo_layout_door_left_AW_2,hypervolume,proposed_nsga2_bs,bs_only_direct,seed,30,1.0089983074361824,0.40745061043285236,0.0,1.5719925868631079e-06,wilcox,two-sided,higher,1.0,30,0,0,1.0,0.0,0.0,0.6015476970033297,"three Phase-11 method pairs within metric=hypervolume, instance=demo_layout_door_left_AW_2",30 matched seeds within one warehouse instance,3.1439851737262158e-06
