comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,125,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,20,20,141.1757819,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,126,1.0004739057239058,0.12479923059516045,0.2507976548715964,3,20,20,174.7312771,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,127,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,32,32,132.8254116,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,128,0.9595537037037041,0.097336150042725,0.6754358226507792,3,18,18,158.8693987,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,129,0.9893314814814818,0.10126367369107792,0.5916757116822463,4,23,23,155.5247655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V0_full_proposed,130,0.8585587542087545,0.15885215556213272,0.6216975050073749,3,22,22,172.6963965,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,101,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,21,21,119.06614330000593,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,102,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,23,23,110.97710870001174,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,103,0.9012314814814818,0.15885215556213272,0.46524276676501497,4,26,26,135.65736169999582,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,104,1.0086001683501686,0.07055445599968387,0.28170855284042556,3,17,17,130.30894859999535,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,105,1.0196590909090912,0.12479923059516045,0.4615665179031714,4,27,27,133.94887860000017,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,106,1.0196590909090912,0.12479923059516045,0.4615665179031714,4,32,32,112.2099492999987,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,107,0.9798257575757578,0.10126367369107792,0.2424052626465162,4,21,21,123.47519959999772,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,108,1.2318897306397307,0.0,0.26945169366350447,6,40,40,124.44959740000195,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,109,0.8851860269360272,0.15885215556213272,0.46366888650097504,3,20,20,131.64443110000866,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,110,0.9633516835016839,0.097336150042725,0.6125871118657272,3,22,22,131.04977639998833,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,111,1.1054028619528624,0.0443371552951815,0.5252198325006597,6,30,30,114.44200409999758,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,112,0.9893314814814818,0.10126367369107792,0.5916757116822463,4,20,20,119.32057660000282,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,113,1.0004739057239058,0.12479923059516045,0.2507976548715964,3,23,23,141.88522919999377,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,114,0.9797415824915827,0.10126367369107792,0.2786329433449942,3,20,20,141.06588280000142,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,115,1.157963804713805,0.038227978495290395,0.3208584423616894,4,20,20,126.34329079999588,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,116,0.8889840067340071,0.15885215556213272,0.5425298200104626,4,31,31,131.07259440000053,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,117,0.8681540404040407,0.15885215556213272,0.4733052434096566,3,20,20,155.06652220000979,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,118,0.9893627946127949,0.09425607914835066,0.45932281516190027,4,20,20,143.68660709999676,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,119,1.2117533670033676,0.01201067779078803,0.2649441880797193,5,29,29,135.18631990000722,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,120,1.203738215488216,0.02451067779078803,0.26822104072021496,5,25,25,125.40368669999589,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,121,0.9125757575757578,0.13439370396178643,0.2087695552957769,4,23,23,129.11667780000425,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,122,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,20,20,159.22366459999466,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,123,1.0219880471380476,0.07055445599968387,0.564235762321947,4,21,21,103.87395340000512,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,124,1.0448173400673404,0.07055445599968387,0.48974095279745605,4,23,23,132.34827699999732,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,125,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,20,20,118.76621610000439,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,126,1.0004739057239058,0.12479923059516045,0.2507976548715964,3,20,20,140.17350240000815,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,127,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,32,32,113.81236389999685,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,128,0.9595537037037041,0.097336150042725,0.6754358226507792,3,18,18,136.2584099999949,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,129,0.9893314814814818,0.10126367369107792,0.5916757116822463,4,23,23,136.54560149999452,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V6_depth15_beam_default,130,0.8585587542087545,0.15885215556213272,0.6216975050073749,3,22,22,137.47143920000235,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,101,1.1513981481481483,0.06721074872410562,0.336950938131621,5,27,27,142.65163170000596,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,102,1.1513981481481483,0.06721074872410562,0.336950938131621,5,40,40,149.44132650000392,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,103,0.9931294612794617,0.10126367369107792,0.5439842718713629,4,26,26,133.93191719999595,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,104,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,25,25,133.8067982999928,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,105,1.0754116161616165,0.12479923059516045,0.4404478750202097,5,25,25,164.67312310000125,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,106,1.1025092592592594,0.061929601643957194,0.3052863079499088,4,35,35,125.99644699999772,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,107,1.2097836700336706,0.02451067779078803,0.294091468144404,6,43,43,131.80035760000465,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,108,1.1513981481481483,0.06721074872410562,0.336950938131621,5,27,27,156.97700830000394,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,109,0.9912173400673403,0.13439370396178643,0.48480210708717986,6,47,47,122.08731550000084,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,110,1.157963804713805,0.038227978495290395,0.3208584423616894,4,40,40,122.93853390000004,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,111,1.1414991582491585,0.09138010859332585,0.44988888480324224,3,32,32,163.63726190000307,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,112,1.0219880471380476,0.07055445599968387,0.564235762321947,4,30,30,124.10666190000484,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,113,1.157963804713805,0.038227978495290395,0.3208584423616894,4,35,35,147.46173249999993,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,114,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,30,30,148.66936949999945,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,115,1.1513981481481483,0.06721074872410562,0.336950938131621,5,32,32,143.77589689999877,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,116,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,34,34,165.24833919999946,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,117,1.1513981481481483,0.06721074872410562,0.336950938131621,5,36,36,160.69730359999812,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,118,1.1025092592592594,0.061929601643957194,0.3052863079499088,4,34,34,118.22633190000488,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,119,1.1513981481481483,0.06721074872410562,0.336950938131621,5,35,35,165.069911700004,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,120,1.2299200336700338,0.012500000000000002,0.29996328913946535,7,34,34,125.10145380000176,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,121,1.0026516835016839,0.09425607914835066,0.5218052140483279,5,44,44,133.2681761999993,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,122,1.0932163299663302,0.10034077899481415,0.3148907260680013,5,30,30,149.96880500001134,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,123,1.1513981481481483,0.06721074872410562,0.336950938131621,5,29,29,135.35227459999442,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,124,1.1513981481481483,0.06721074872410562,0.336950938131621,5,37,37,140.27369960000215,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,125,1.0639966329966333,0.10034077899481415,0.29010488226763126,4,32,32,146.20174270001007,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,126,1.0406624579124581,0.07526755168004447,0.40524413259858305,6,33,33,150.60989730000438,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,127,1.2318897306397307,0.0,0.26945169366350447,6,36,36,133.49680320000334,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,128,1.0932163299663302,0.10034077899481415,0.3148907260680013,5,24,24,135.96536409998953,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,129,1.0581062289562293,0.07055445599968387,0.5466243994474426,5,39,39,121.45099969999865,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,AT_S_comercial_layout_AW_3,V7_beam_plus1_depth_default,130,0.9550991582491586,0.13439370396178643,0.4912456473645192,5,34,34,156.1164468999923,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,101,1.3235682574916763,0.0,0.1003726154114542,2,19,19,1179.861464,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,102,1.2402500000000003,0.0375,0.0,1,12,12,1215.146425,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,103,1.2402500000000003,0.0375,0.0,1,18,18,1231.979942,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,104,1.3235682574916763,0.0,0.1003726154114542,2,16,16,1285.034639,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,105,1.2402500000000003,0.0375,0.0,1,11,11,1195.871515,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,106,1.2402500000000003,0.0375,0.0,1,10,10,1107.34791,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,107,1.2402500000000003,0.0375,0.0,1,14,14,1187.210853,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,108,0.6904184239733632,0.381794179811947,0.4073111328807902,4,27,27,1221.025477,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,109,1.2402500000000003,0.0375,0.0,1,14,14,1166.607857,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,110,0.7789006659267481,0.2808489357171321,0.2458622226796542,2,25,25,1203.364252,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,111,0.6505160932297449,0.381794179811947,0.4176956395468055,3,22,22,1188.965461,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,112,0.6557630410654831,0.381794179811947,0.33859628248016094,4,20,20,1043.038583,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,113,0.6692777469478359,0.381794179811947,0.4189326163110681,4,21,21,974.7041467,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,114,1.2402500000000003,0.0375,0.0,1,15,15,1116.434502,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,115,0.6720524417314098,0.381794179811947,0.35774178083408203,5,25,25,1008.304336,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,116,1.3235682574916763,0.0,0.1003726154114542,2,11,11,979.9472457,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,117,0.6505160932297449,0.381794179811947,0.4176956395468055,3,18,18,1146.200848,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,118,0.7285205327413987,0.3069972736780261,0.0,1,17,17,1033.227345,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,119,0.6557630410654831,0.381794179811947,0.33859628248016094,4,26,26,1099.88287,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12c,demo_layout_door_left_AW_2,V0_full_proposed,120,1.3235682574916763,0.0,0.1003726154114542,2,16,16,1105.598826,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
