phase,method_or_variant,method_label,instance,instance_label,seed,index,hypervolume,carried_forward
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,101,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,102,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,103,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,104,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,105,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,106,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,107,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,108,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,109,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,110,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,111,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,112,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,113,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,114,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,115,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,116,0,0.6028795534665102,False
phase11,bs_only_direct,BS-only,AT_S_comercial_layout_AW_3,Atefeh,117,0,0.6028795534665102,False
