phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,116,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s116\runs\AT_S_comercial_layout_AW_3\seed_116\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,117,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s117\runs\AT_S_comercial_layout_AW_3\seed_117\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,118,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s118\runs\AT_S_comercial_layout_AW_3\seed_118\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,119,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s119\runs\AT_S_comercial_layout_AW_3\seed_119\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,120,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s120\runs\AT_S_comercial_layout_AW_3\seed_120\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,121,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,122,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s122\runs\AT_S_comercial_layout_AW_3\seed_122\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,123,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s123\runs\AT_S_comercial_layout_AW_3\seed_123\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,124,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s124\runs\AT_S_comercial_layout_AW_3\seed_124\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,125,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s125\runs\AT_S_comercial_layout_AW_3\seed_125\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,126,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s126\runs\AT_S_comercial_layout_AW_3\seed_126\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,127,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s127\runs\AT_S_comercial_layout_AW_3\seed_127\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,128,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s128\runs\AT_S_comercial_layout_AW_3\seed_128\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,129,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s129\runs\AT_S_comercial_layout_AW_3\seed_129\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,130,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s130\runs\AT_S_comercial_layout_AW_3\seed_130\generation_objectives.csv,4
phase11,bs_only_direct,Gyorgy-KOVACS_WH_Narrow_AW_4,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__KOV_WH_N_AW4__s101\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_101\generation_objectives.csv,1
