comparison_group,instance,min_N_locked,max_N_locked,min_negative_N_pf,max_negative_N_pf,min_R_p,max_R_p,hv_reference_point,normalization_scope,union_objectives_sha256,reference_front_sha256
phase11,AT_S_comercial_layout_AW_3,90.0,159.0,-127.0,-87.0,69.0,439.0,"(1.1,1.1,1.1)",full instance/comparison-group union,7631a585fd9667d0b6bb9e293f36e398609aac7f4df43dcaa6faee7f085a7f19,e624d52131ff873f00f88b6ed761defea324b2de3641257b2570bc52ca3f13a1
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,290.0,424.0,-270.0,-228.0,341.0,616.0,"(1.1,1.1,1.1)",full instance/comparison-group union,7bea8346964ec161bd1769df0832ef21fbbac88fa540b20d35665e3cc265e5c6,247b89c119f03d3089bbaa8de25b0447056b4305202d35c72b1aae5f3e19104f
phase12b,AT_S_comercial_layout_AW_3,90.0,144.0,-127.0,-87.0,69.0,344.0,"(1.1,1.1,1.1)",full instance/comparison-group union,210c4bcace9daeddd48332f1bab28dab1bf2e01d010c0219794edac0460960db,96813c6e3340c198026444a2354569de64b9fd4ef14d1190c6346b9dc7f937ec
phase12b,Gyorgy-KOVACS_WH_Narrow_AW_4,277.0,461.0,-275.0,-219.0,292.0,666.0,"(1.1,1.1,1.1)",full instance/comparison-group union,a32cb9c2333bdd467167d509154cfa5d66d8e4b1a2b4e39c6432ca137baa0168,247b89c119f03d3089bbaa8de25b0447056b4305202d35c72b1aae5f3e19104f
phase12c,AT_S_comercial_layout_AW_3,90.0,144.0,-127.0,-87.0,69.0,344.0,"(1.1,1.1,1.1)",full instance/comparison-group union,77b19acbe6f0584576235d49636b083fb93afa86fb8e7737d2b3d3741a0770a3,96813c6e3340c198026444a2354569de64b9fd4ef14d1190c6346b9dc7f937ec
phase12c,Gyorgy-KOVACS_WH_Narrow_AW_4,290.0,424.0,-270.0,-228.0,341.0,616.0,"(1.1,1.1,1.1)",full instance/comparison-group union,d03493fbbd8d3413f55a7a4ad2f16f41e38b6d2f119f074f11792810572a73b0,247b89c119f03d3089bbaa8de25b0447056b4305202d35c72b1aae5f3e19104f
