regime,lambda_case_id,lambda_depth,lambda_level,is_baseline_lambda,selection_label,selection_type,layout_signature,seed,rank,representative_lambda_cost,mean_order_lambda_access_effort_sum,std_order_lambda_access_effort_sum_across_seeds,ci95_order_lambda_access_effort_sum_halfwidth,mean_line_lambda_access_effort,reserve_lambda_access_cost,interior_deep_slot_share,upper_level_slot_share,reserve_deep_pallet_share,reserve_upper_level_pallet_share,reserve_fragmentation_proxy,same_block_reserve_share,same_side_reserve_share,rank_by_representative_lambda_cost,rank_by_mean_order_lambda_access_effort_sum,rank_by_mean_line_lambda_access_effort,rank_by_reserve_lambda_access_cost,rank_by_interior_deep_slot_share,rank_by_reserve_fragmentation_proxy,baseline_rank_reference,ranking_changed_vs_baseline,sensitivity_status,sensitivity_warning
B,B1_baseline,0.1,0.1,true,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,,,,,,0.248040184453,0.232352941176,0.625,0.449275362319,0.698550724638,1.75,0.849275362319,0.882608695652,,,,1,3,4,1,false,ok,
B,B1_baseline,0.1,0.1,true,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,,,,,,0.328695652174,0.233333333333,0.625,0.217391304348,0.66231884058,1.36,0.934782608696,0.624637681159,,,,3,2,2,3,false,ok,
B,B2_higher_depth_penalty,0.25,0.1,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,,,,,,0.483021833239,0.232142857143,0.625,0.217391304348,0.585507246377,1.74,0.684057971014,0.576811594203,,,,4,4,3,4,false,ok,
B,B2_higher_depth_penalty,0.25,0.1,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,,,,,,0.348243224167,0.283227848101,0.625,0.271014492754,0.372463768116,1.25,0.8,0.786956521739,,,,2,1,1,2,false,ok,
B,B2_higher_depth_penalty,0.25,0.1,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,,,,,,0.292768445323,0.232352941176,0.625,0.449275362319,0.698550724638,1.75,0.849275362319,0.882608695652,,,,1,3,4,1,false,ok,
B,B2_higher_depth_penalty,0.25,0.1,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,,,,,,0.364347826087,0.233333333333,0.625,0.217391304348,0.66231884058,1.36,0.934782608696,0.624637681159,,,,3,2,2,3,false,ok,
B,B3_higher_level_penalty,0.1,0.25,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,,,,,,0.526872764916,0.232142857143,0.625,0.217391304348,0.585507246377,1.74,0.684057971014,0.576811594203,,,,4,4,3,4,false,ok,
B,B3_higher_level_penalty,0.1,0.25,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,,,,,,0.3611391869,0.283227848101,0.625,0.271014492754,0.372463768116,1.25,0.8,0.786956521739,,,,2,1,1,2,false,ok,
B,B3_higher_level_penalty,0.1,0.25,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,,,,,,0.334779314888,0.232352941176,0.625,0.449275362319,0.698550724638,1.75,0.849275362319,0.882608695652,,,,1,3,4,1,false,ok,
B,B3_higher_level_penalty,0.1,0.25,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,,,,,,0.404782608696,0.233333333333,0.625,0.217391304348,0.66231884058,1.36,0.934782608696,0.624637681159,,,,3,2,2,3,false,ok,
B,B4_higher_depth_and_level_penalty,0.25,0.25,false,L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,,,,,,0.552307547525,0.232142857143,0.625,0.217391304348,0.585507246377,1.74,0.684057971014,0.576811594203,,,,4,4,3,4,false,ok,
B,B4_higher_depth_and_level_penalty,0.25,0.25,false,L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,,,,,,0.400106578204,0.283227848101,0.625,0.271014492754,0.372463768116,1.25,0.8,0.786956521739,,,,2,1,1,2,false,ok,
B,B4_higher_depth_and_level_penalty,0.25,0.25,false,L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,,,,,,0.379507575758,0.232352941176,0.625,0.449275362319,0.698550724638,1.75,0.849275362319,0.882608695652,,,,1,3,4,1,false,ok,
B,B4_higher_depth_and_level_penalty,0.25,0.25,false,L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,,,,,,0.440434782609,0.233333333333,0.625,0.217391304348,0.66231884058,1.36,0.934782608696,0.624637681159,,,,3,2,2,3,false,ok,
