regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A2_lower_level_penalty,1,0.5,L2,15,20260632,1000,3091,0.697538961039,0.221985194805,0.225667732462,ok,
A,A2_lower_level_penalty,1,0.5,L2,16,20260633,1000,3034,0.628158441559,0.204053636364,0.207039697284,ok,
A,A2_lower_level_penalty,1,0.5,L2,17,20260634,1000,3025,0.634724675325,0.21505995671,0.20982633895,ok,
A,A2_lower_level_penalty,1,0.5,L2,18,20260635,1000,2996,0.642788311689,0.226381103896,0.214548835677,ok,
A,A2_lower_level_penalty,1,0.5,L2,19,20260636,1000,3037,0.674076623377,0.215248008658,0.221954765682,ok,
A,A2_lower_level_penalty,1,0.5,L2,20,20260637,1000,3018,0.657480519481,0.207897316017,0.217853054831,ok,
A,A2_lower_level_penalty,1,0.5,L2,21,20260638,1000,2998,0.657614285715,0.22033495671,0.219350995902,ok,
A,A2_lower_level_penalty,1,0.5,L2,22,20260639,1000,2974,0.639027272728,0.208320930736,0.21487130892,ok,
A,A2_lower_level_penalty,1,0.5,L2,23,20260640,1000,3106,0.685783116883,0.223582705628,0.220793018958,ok,
A,A2_lower_level_penalty,1,0.5,L2,24,20260641,1000,3096,0.691718181819,0.227138766234,0.223423185342,ok,
A,A2_lower_level_penalty,1,0.5,L2,25,20260642,1000,2954,0.646225974026,0.214441839827,0.218763024383,ok,
A,A2_lower_level_penalty,1,0.5,L2,26,20260643,1000,3002,0.675044155844,0.218821320346,0.224864808742,ok,
A,A2_lower_level_penalty,1,0.5,L2,27,20260644,1000,2996,0.673222077922,0.227289090909,0.224706968599,ok,
A,A2_lower_level_penalty,1,0.5,L2,28,20260645,1000,2993,0.6411,0.213014264069,0.214199799532,ok,
A,A2_lower_level_penalty,1,0.5,L2,29,20260646,1000,2966,0.619718181819,0.206261471862,0.208940722124,ok,
A,A2_lower_level_penalty,1,0.5,L2,30,20260647,1000,2986,0.614162337663,0.20082534632,0.205680622124,ok,
