instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
AT_S_comercial_layout_AW_3,0,183311722f48149ec51b573d1a5f0e3981811496,210,110,100,195.0,1.0,6,6,101,127,3,final_rank_00_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,8fa87276d2b14fc4f92952c7fc191729e3f9d77e,246,125,121,220.0,1.0,12,12,103,127,9,final_rank_00_layout_007,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,b7b547cb4691e62927f5ec7084cd7b1a79656bde,246,125,121,220.0,1.0,12,12,103,127,8,final_rank_00_layout_006,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,e0fad9e658853185297715315da7e4e7f9350fec,246,125,121,220.0,1.0,11,11,103,127,10,final_rank_00_layout_008,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,6ae8b1bd832fc740d0dfbc7e61143b8d5f7b71ea,264,124,140,220.0,1.0,7,7,106,129,13,final_rank_00_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s129\runs\AT_S_comercial_layout_AW_3\seed_129\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,97e98cf5a19137e4615722da1bdb4778bc57cbe3,264,124,140,220.0,1.0,7,7,106,129,12,final_rank_00_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s129\runs\AT_S_comercial_layout_AW_3\seed_129\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,bff1f598ae060a0390c10f5de0cbed5ac1213ca5,264,124,140,220.0,1.0,10,10,106,130,19,final_rank_00_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s112\runs\AT_S_comercial_layout_AW_3\seed_112\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,0,cd1e51a231a34a7a16e55f52340d009aaca24055,264,124,140,220.0,1.0,7,7,106,129,14,final_rank_00_layout_005,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s129\runs\AT_S_comercial_layout_AW_3\seed_129\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,a13494f6aa090e10b6ffeff3cbd3e8aae05c5505,222,115,107,107.0,1.0,30,30,101,130,7,final_rank_01_layout_006,13,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,1,4fbda55a4b9008306093d3bf65d5bdfac05d2bde,198,96,102,126.0,1.0,2,2,103,116,1,final_rank_01_layout_004,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
