instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
Gyorgy-KOVACS_WH_Narrow_AW_4,1,3ab80a1d8e68880e815ad780c83cfc2449e7f93f,648,237,411,490.0,1.0,25,25,102,130,1,final_rank_01_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s113\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_113\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,451b31cd7494c0e29ac39737991e84853f054397,648,237,411,490.0,1.0,25,25,102,130,2,final_rank_01_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s113\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_113\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,fa8b3ae6d34a080b7f0477f81e4f7a7c987ebe2e,600,256,344,522.0,1.0,18,18,101,130,12,final_rank_01_layout_009,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,334779b46d5c288ee3031362a71af20db7b63dd5,680,262,418,524.0,1.0,29,29,101,130,8,final_rank_01_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,8f2926ac3d427dac9f2e22e7dbb4782d03fe71f9,680,262,418,524.0,1.0,29,29,101,130,9,final_rank_01_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,c3a8d798cccc0ae6137f5d1801f12286f82d75a7,680,262,418,524.0,1.0,29,29,101,130,10,final_rank_01_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s105\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_105\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,1,5855b7a2ce0f7102686a835ce8b745d34e7270fe,608,261,347,539.0,1.0,23,23,101,130,17,final_rank_01_layout_010,8,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,e620b2f7630f38601cf505d8290364bc37d76247,632,239,393,475.0,1.0,1,1,127,127,16,final_rank_02_layout_005,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s127\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_127\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,ea80499f16b4980dac5d0db1fbf5c14ea1f0326e,632,239,393,475.0,1.0,1,1,127,127,15,final_rank_02_layout_004,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s127\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_127\final_ranked_layouts_index.json,
Gyorgy-KOVACS_WH_Narrow_AW_4,2,6b741b69cafdf845076912c9118d6404ec3124cc,640,243,397,493.0,1.0,24,24,102,130,19,final_rank_02_layout_006,3,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s111\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_111\final_ranked_layouts_index.json,
