review_id,layout_signature_short,layout_signature,seed,rank,candidate_id,layout_id,archive_key,storage_cells,pick_faces,interior_deep_storage_cells,interior_deep_storage_share,retrieval_penalty,mean_depth,max_depth,largest_block_size,pick_face_density,pallet_slot_capacity,objective_vector,door_connectivity_index,access_anchor_connectivity_index,is_feasible,suggested_archetype_flags,selection_candidate_for,manual_visual_status,manual_visual_note,score_L1_accessibility,score_L2_dense_deep,score_L3_high_capacity_balanced,score_L4_intermediate,candidate_rank_L1,candidate_rank_L2,candidate_rank_L3,candidate_rank_L4,phase,method_slug,method_name,instance_slug,instance_name,archive_entry_index,source_generation,source_candidate_index,run_folder,archive_index_path,archive_npz_path,candidates_csv_path
U11,9baad5a6d6d0,9baad5a6d6d08df213ec54891109e23b1069a9a5,105,1,19,final_rank_01_layout_005,final_rank_01_layout_005,684,260,424,0.619883041,484,1.862573099,4,168,0.380116959,5472,"[424,484.0,260]",1,1,,top5_L3,L3,not_reviewed,,0.633821384,0.750841357,0.830720091,0.605116746,7,6,2,22,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,6,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U12,7ea492661f4a,7ea492661f4a7d780540a41c5bfc758906148e19,105,1,20,final_rank_01_layout_006,final_rank_01_layout_006,684,260,424,0.619883041,484,1.862573099,4,168,0.380116959,5472,"[424,484.0,260]",1,1,,top5_L3,L3,not_reviewed,,0.633821384,0.750841357,0.830720091,0.605116746,8,7,3,23,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,7,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U13,59c55a28d53f,59c55a28d53f47701301421f850890ad1de7d63b,105,1,21,final_rank_01_layout_007,final_rank_01_layout_007,684,260,424,0.619883041,484,1.862573099,4,168,0.380116959,5472,"[424,484.0,260]",1,1,,top5_L3,L3,not_reviewed,,0.633821384,0.750841357,0.830720091,0.605116746,9,8,4,24,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,8,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U14,6732d5258a93,6732d5258a9313035bead181283e041def90bbb2,105,1,22,final_rank_01_layout_008,final_rank_01_layout_008,684,260,424,0.619883041,484,1.862573099,4,168,0.380116959,5472,"[424,484.0,260]",1,1,,top5_L3,L3,not_reviewed,,0.633821384,0.750841357,0.830720091,0.605116746,10,9,5,25,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,9,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U15,3ab80a1d8e68,3ab80a1d8e68880e815ad780c83cfc2449e7f93f,113,1,1,final_rank_01_layout_001,final_rank_01_layout_001,648,237,411,0.634259259,490,1.964506173,5,103,0.365740741,5184,"[411,490.0,237]",1,1,,,,not_reviewed,,0.325809817,0.595194236,0.621385404,0.570856326,28,14,14,30,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,0,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/candidates.csv
U16,451b31cd7494,451b31cd7494c0e29ac39737991e84853f054397,113,1,2,final_rank_01_layout_002,final_rank_01_layout_002,648,237,411,0.634259259,490,1.970679012,5,103,0.365740741,5184,"[411,490.0,237]",1,1,,,,not_reviewed,,0.321328501,0.595194236,0.617402012,0.567370858,30,15,15,31,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,1,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s113/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_113/candidates.csv
U17,fa8b3ae6d34a,fa8b3ae6d34a080b7f0477f81e4f7a7c987ebe2e,105,1,12,final_rank_01_layout_009,final_rank_01_layout_009,600,256,344,0.573333333,522,1.931666667,6,111,0.426666667,4800,"[344,522.0,256]",1,1,,top5_L4,L4,not_reviewed,,0.49116839,0.407748667,0.414485193,0.841275021,15,29,36,4,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,15,1,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U18,334779b46d5c,334779b46d5c288ee3031362a71af20db7b63dd5,105,1,8,final_rank_01_layout_002,final_rank_01_layout_002,680,262,418,0.614705882,524,1.966176471,5,207,0.385294118,5440,"[418,524.0,262]",1,1,,top5_L2;selected_L2,L2,not_reviewed,,0.489834192,0.863761595,0.711278806,0.571576597,17,1,7,28,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,3,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U19,8f2926ac3d42,8f2926ac3d427dac9f2e22e7dbb4782d03fe71f9,105,1,9,final_rank_01_layout_003,final_rank_01_layout_003,680,262,418,0.614705882,524,1.966176471,5,207,0.385294118,5440,"[418,524.0,262]",1,1,,top5_L2,L2,not_reviewed,,0.489834192,0.863761595,0.711278806,0.571576597,18,2,8,29,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,4,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
U20,c3a8d798cccc,c3a8d798cccc0ae6137f5d1801f12286f82d75a7,105,1,10,final_rank_01_layout_004,final_rank_01_layout_004,680,262,418,0.614705882,524,1.888235294,4,181,0.385294118,5440,"[418,524.0,262]",1,1,,top5_L2,L2,not_reviewed,,0.616417397,0.753761595,0.762574988,0.6082807,11,5,6,21,p11,nsga2,proposed_nsga2_bs,KOV_WH_N_AW4,Gyorgy-KOVACS_WH_Narrow_AW_4,5,0,,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts_index.json,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/final_ranked_layouts.npz,revision_30seed_final_clean_run/p11/nsga2/profile__p11__nsga2__KOV_WH_N_AW4__s105/runs/Gyorgy-KOVACS_WH_Narrow_AW_4/seed_105/candidates.csv
