selection_label,selection_type,layout_signature,seed,rank,sku_count_total,A_sku_count,B_sku_count,C_sku_count,A_high_access_share,AB_high_access_share,demand_weight_sum,A_demand_weight_sum,B_demand_weight_sum,C_demand_weight_sum,demand_weighted_horizontal_distance,demand_weighted_normalized_distance,demand_weighted_effective_depth,demand_weighted_normalized_depth,demand_weighted_level,demand_weighted_normalized_level,lambda_depth,lambda_level,weighted_access_cost,A_weighted_access_cost,B_weighted_access_cost,C_weighted_access_cost,A_mean_horizontal_distance,B_mean_horizontal_distance,C_mean_horizontal_distance,A_mean_effective_depth,B_mean_effective_depth,C_mean_effective_depth,A_mean_level,B_mean_level,C_mean_level,representative_rows,representative_validation_status,regime_A_metric_status,regime_A_metric_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,100,20,30,50,1,1,1,0.8,0.15,0.05,5.408,0.0983272727273,1.158,0.0395,0.437,0.0624285714286,1,1,0.200255844156,0.0581818181818,0.0288831168831,0.113190909091,4,4.56666666667,30.46,1,1,4.16,0,0.766666666667,6.44,100,passed,ok,
L2,deep-block / reserve-oriented,76cdc821160b1fd8a5952575af463e70cb84ba4e,120,3,100,20,30,50,1,1,1,0.8,0.15,0.05,7.663,0.139327272727,1.2,0.05,0.352,0.0502857142857,1,1,0.239612987013,0.0829090909092,0.0288311688312,0.127872727273,5.7,9,35.06,1,1,5,0,0.2,6.44,100,passed,ok,
L3,high-capacity balanced,fc4825140fa5e2560776b4b932f5ef46c1588f36,105,0,100,20,30,50,1,1,1,0.8,0.15,0.05,5.37,0.0976363636364,1.116,0.029,0.409,0.0584285714286,1,1,0.185064935065,0.0581818181818,0.028974025974,0.0979090909091,4,4.6,29.6,1,1,3.32,0,0.766666666667,5.88,100,passed,ok,
L4,intermediate accessibility-capacity compromise,31618e0fa9e7ba38a349d70c4dff96d8a35cbd09,105,0,100,20,30,50,1,1,1,0.8,0.15,0.05,5.484,0.0997090909091,1.158,0.0395,0.437,0.0624285714286,1,1,0.201637662338,0.0581818181818,0.028974025974,0.114481818182,4,4.6,31.88,1,1,4.16,0,0.766666666667,6.44,100,passed,ok,
