selection_label,selection_type,layout_signature,seed,rank,candidate_id,layout_id,archive_key,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,storage_cells_layout,pick_faces_layout,interior_deep_storage_share_layout,retrieval_penalty_layout,mean_depth_layout,max_depth_layout,largest_block_size_layout,pallet_slot_capacity_layout,slot_metric_status,slot_metric_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,20,6,2,64,two_sided,2,"E,W",W,1,19,2,39,6,0.709090909,0.25,0.857142857,1.816233766,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,20,7,2,64,two_sided,2,"E,W",W,1,19,2,39,7,0.709090909,0.25,1,1.959090909,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,0,2,64,two_sided,2,"E,W",W,1,19,3,39,0,0.709090909,0.5,0,1.209090909,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,1,2,64,two_sided,2,"E,W",W,1,19,3,39,1,0.709090909,0.5,0.142857143,1.351948052,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,2,2,64,two_sided,2,"E,W",W,1,19,3,39,2,0.709090909,0.5,0.285714286,1.494805195,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,3,2,64,two_sided,2,"E,W",W,1,19,3,39,3,0.709090909,0.5,0.428571429,1.637662338,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,4,2,64,two_sided,2,"E,W",W,1,19,3,39,4,0.709090909,0.5,0.571428571,1.780519481,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,5,2,64,two_sided,2,"E,W",W,1,19,3,39,5,0.709090909,0.5,0.714285714,1.923376623,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,6,2,64,two_sided,2,"E,W",W,1,19,3,39,6,0.709090909,0.5,0.857142857,2.066233766,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,21,7,2,64,two_sided,2,"E,W",W,1,19,3,39,7,0.709090909,0.5,1,2.209090909,560,270,0.517857143,341,1.8375,5,119,4480,ok,
